property_code,lease_id,unit_num
talw1200,t0048978,101
talw1200,t0048979,102
talw1200,t0048979,102
talw1200,t0048980,103
talw1200,t0048980,103
talw1200,t0048981,104
talw1200,t0048981,104
talw1200,t0048982,105
talw1200,t0048983,106
talw1200,t0048984,107
talw1200,t0048985,108
talw1200,t0048986,109
talw1200,t0048987,110
talw1200,t0048988,111
talw1200,t0048989,201
talw1200,t0048990,202
talw1200,t0048991,203
talw1200,t0048992,204
talw1200,t0048993,205
talw1200,t0048994,206
talw1200,t0048995,207
talw1200,t0048996,208
talw1200,t0048996,208
talw1200,t0048997,209
talw1200,t0048998,210
talw1200,t0048999,211
talw1200,t0049000,212
talw1200,t0049000,212
talw1200,t0049001,213
talw1200,t0049002,302
talw1200,t0049003,303
talw1200,t0049004,304
talw1200,t0049005,305
talw1200,t0049005,305
talw1200,t0049006,306
talw1200,t0049007,307
talw1200,t0049008,308
talw1200,t0049009,309
talw1200,t0049010,310
talw1200,t0049010,310
talw1200,t0049011,311
talw1200,t0049012,312
talw1200,t0049013,313
talw1200,t0049014,401
talw1200,t0049015,402
talw1200,t0049016,404
talw1200,t0049016,404
talw1200,t0049016,404
talw1200,t0049017,405
talw1200,t0049017,405
talw1200,t0049018,406
talw1200,t0049019,407
talw1200,t0049020,408
talw1200,t0049021,409
talw1200,t0049022,410
talw1200,t0049022,410
talw1200,t0049023,411
talw1200,t0049023,411
talw1200,t0049024,412
talw1200,t0049025,413
talw1200,t0049026,501
talw1200,t0049027,502
talw1200,t0049028,503
talw1200,t0049028,503
talw1200,t0049029,504
talw1200,t0049030,505
talw1200,t0049031,506
talw1200,t0049032,507
talw1200,t0049033,508
talw1200,t0049034,509
talw1200,t0049035,510
talw1200,t0049036,511
talw1200,t0049036,511
talw1200,t0049037,512
talw1200,t0049037,512
talw1200,t0049038,513
talw1200,t0049039,601
talw1200,t0049039,601
talw1200,t0049040,602
talw1200,t0049041,603
talw1200,t0049042,604
talw1200,t0049043,605
talw1200,t0049044,606
talw1200,t0049045,607
talw1200,t0049046,608
talw1200,t0049047,609
talw1200,t0049048,610
talw1200,t0049049,611
talw1200,t0049049,611
talw1200,t0049050,612
talw1200,t0049051,613
talw1200,t0049052,701
talw1200,t0049053,703
talw1200,t0049053,703
talw1200,t0049054,704
talw1200,t0049054,704
talw1200,t0049055,705
talw1200,t0049055,705
talw1200,t0049056,706
talw1200,t0049057,707
talw1200,t0049058,708
talw1200,t0049058,708
talw1200,t0049059,709
talw1200,t0049060,710
talw1200,t0049061,711
talw1200,t0049062,712
talw1200,t0049062,712
talw1200,t0049063,713
talw1200,t0049064,801
talw1200,t0049065,802
talw1200,t0049065,802
talw1200,t0049066,803
talw1200,t0049067,804
talw1200,t0049068,805
talw1200,t0049069,806
talw1200,t0049070,807
talw1200,t0049071,808
talw1200,t0049072,809
talw1200,t0049072,809
talw1200,t0049073,810
talw1200,t0049074,811
talw1200,t0049075,812
talw1200,t0049076,813
talw1200,t0049077,901
talw1200,t0049078,902
talw1200,t0049079,903
talw1200,t0049080,904
talw1200,t0049081,905
talw1200,t0049082,906
talw1200,t0049083,907
talw1200,t0049084,908
talw1200,t0049085,909
talw1200,t0049086,910
talw1200,t0049087,911
talw1200,t0049087,911
talw1200,t0049088,912
talw1200,t0049089,913
