question
What is the name of your best friend from childhood?
What was the name of your first teacher?
What is the name of your manager at your first job?
What was your first phone number?
What is your vehicle registration number?
What is your library card number?
What is your best friend's last name?
What is your favorite pet's name?
What was your grandfather's first name?
What was your high school's mascot?
What automobile company made your first car?
What country would you like to visit?
What company did you first work for?
 
